Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2,ActiveSegment3,ActiveSegment4,ActiveSegment5,ActiveSegment6,ActiveSegment7,ActiveSegment8,ActiveSegment9
C000,undecided,255,255,255,50,78,1,6.32456,1,1,1,1,1,1,1,1,1,1
C001,undecided,255,255,255,82,24,1,7.28011,1,1,1,1,1,1,1,1,1,1
C002,undecided,255,255,255,148,48,1,7.28011,1,1,1,1,1,1,1,1,1,1
C003,undecided,255,255,255,49,82,1,7,1,1,1,1,1,1,1,1,1,1
C004,undecided,255,255,255,178,54,1,7.28011,1,1,1,1,1,1,1,1,1,1
C005,undecided,255,255,255,164,56,1,6.32456,1,1,1,1,1,1,1,1,1,1
C006,undecided,255,255,255,102,43,1,7.07107,1,1,1,1,1,1,1,1,1,1
C007,undecided,255,255,255,166,44,1,7.61577,1,1,1,1,1,1,1,1,1,1
C008,undecided,255,255,255,123,41,1,6.32456,1,1,1,1,1,1,1,1,1,1
C009,undecided,255,255,255,67,5,1,7.61577,1,1,1,1,1,1,1,1,1,1
C010,undecided,255,255,255,187,79,1,6.7082,1,1,1,1,1,1,1,1,1,1
C011,undecided,255,255,255,108,11,1,7.07107,1,1,1,1,1,1,1,1,1,1
C012,undecided,255,255,255,160,32,1,6.7082,1,1,1,1,1,1,1,1,1,1
C013,undecided,255,255,255,118,83,1,7.2111,1,1,1,1,1,1,1,1,1,1
C014,undecided,255,255,255,82,32,1,6.7082,1,1,1,1,1,1,1,1,1,1
C015,undecided,255,255,255,82,44,1,7.2111,1,1,1,1,1,1,1,1,1,1
C016,undecided,255,255,255,126,63,1,6.7082,1,1,1,1,1,1,1,1,1,1
C017,undecided,255,255,255,163,28,1,6.40312,1,1,1,1,1,1,1,1,1,1
C018,undecided,255,255,255,37,31,1,7,1,1,1,1,1,1,1,1,1,1
C019,undecided,255,255,255,144,40,1,7,1,1,1,1,1,1,1,1,1,1
C020,undecided,255,255,255,97,29,1,6.7082,1,1,1,1,1,1,1,1,1,1
C021,undecided,255,255,255,138,126,1,6.7082,1,1,1,1,1,1,1,1,1,1
C022,undecided,255,255,255,137,39,1,7.28011,1,1,1,1,1,1,1,1,1,1
C023,undecided,255,255,255,102,4,1,7.28011,1,1,1,1,1,1,1,1,1,1
C024,undecided,255,255,255,87,47,1,6.32456,1,1,1,1,1,1,1,1,1,1
C025,undecided,255,255,255,116,60,1,6.7082,1,1,1,1,1,1,1,1,1,1
C026,undecided,255,255,255,80,22,1,7.61577,1,1,1,1,1,1,1,1,1,1
C027,undecided,255,255,255,142,53,1,7.2111,1,1,1,1,1,1,1,1,1,1
C028,undecided,255,255,255,53,7,1,7.07107,1,1,1,1,1,1,1,1,1,1
C029,undecided,255,255,255,147,33,1,6.7082,1,1,1,1,1,1,1,1,1,1
C030,undecided,255,255,255,93,40,1,7.28011,1,1,1,1,1,1,1,1,1,1
C031,undecided,255,255,255,61,71,1,7.28011,1,1,1,1,1,1,1,1,1,1
C032,undecided,255,255,255,50,129,1,7.07107,1,1,1,1,1,1,1,1,1,1
C033,undecided,255,255,255,152,18,1,6.7082,1,1,1,1,1,1,1,1,1,1
C034,undecided,255,255,255,101,10,1,6.32456,1,1,1,1,1,1,1,1,1,1
C035,undecided,255,255,255,173,25,1,8.06226,1,1,1,1,1,1,1,1,1,1
C036,undecided,255,255,255,106,31,1,6.7082,1,1,1,1,1,1,1,1,1,1
C037,undecided,255,255,255,163,124,1,7.61577,1,1,1,1,1,1,1,1,1,1
C038,undecided,255,255,255,140,13,1,6.7082,1,1,1,1,1,1,1,1,1,1
C039,undecided,255,255,255,124,11,1,7.28011,1,1,1,1,1,1,1,1,1,1
C040,undecided,255,255,255,41,39,1,6.7082,1,1,1,1,1,1,1,1,1,1
C041,undecided,255,255,255,131,23,1,7.61577,1,1,1,1,1,1,1,1,1,1
C042,undecided,255,255,255,118,16,1,6.40312,1,1,1,1,1,1,1,1,1,1
C043,undecided,255,255,255,79,28,1,6.7082,1,1,1,1,1,1,1,1,1,1
C044,undecided,255,255,255,60,4,1,6.7082,1,1,1,1,1,1,1,1,1,1
C045,undecided,255,255,255,69,41,1,7.07107,1,1,1,1,1,1,1,1,1,1
C046,undecided,255,255,255,162,77,1,7.28011,1,1,1,1,1,1,1,1,1,1
C047,undecided,255,255,255,81,18,1,7.28011,1,1,1,1,1,1,1,1,1,1
C048,undecided,255,255,255,50,125,1,7.2111,1,1,1,1,1,1,1,1,1,1
C049,undecided,255,255,255,120,35,1,7.28011,1,1,1,1,1,1,1,1,1,1
C050,undecided,255,255,255,91,22,1,7.07107,1,1,1,1,1,1,1,1,1,1
C051,undecided,255,255,255,158,98,1,7.07107,1,1,1,1,1,1,1,1,1,1
C052,undecided,255,255,255,134,26,1,6.7082,1,1,1,1,1,1,1,1,1,1
C053,undecided,255,255,255,87,5,1,6.32456,1,1,1,1,1,1,1,1,1,1
C054,undecided,255,255,255,94,77,1,7.07107,1,1,1,1,1,1,1,1,1,1
C055,undecided,255,255,255,92,35,1,6.7082,1,1,1,1,1,1,1,1,1,1
C056,undecided,255,255,255,42,62,1,6.08276,1,1,1,1,1,1,1,1,1,1
C057,undecided,255,255,255,89,54,1,6.7082,1,1,1,1,1,1,1,1,1,1
C058,undecided,255,255,255,184,39,1,7.07107,1,1,1,1,1,1,1,1,1,1
C059,undecided,255,255,255,171,40,1,8.06226,1,1,1,1,1,1,1,1,1,1
C060,undecided,255,255,255,190,49,1,8.24621,1,1,1,1,1,1,1,1,1,1
C061,undecided,255,255,255,36,36,1,6.7082,1,1,1,1,1,1,1,1,1,1
C062,undecided,255,255,255,144,70,1,6.32456,1,1,1,1,1,1,1,1,1,1
C063,undecided,255,255,255,60,18,1,6.7082,1,1,1,1,1,1,1,1,1,1
C064,undecided,255,255,255,94,31,1,6.7082,1,1,1,1,1,1,1,1,1,1
C065,undecided,255,255,255,46,169,1,6.7082,1,1,1,1,1,1,1,1,1,1
C066,undecided,255,255,255,192,59,1,8.24621,1,1,1,1,1,1,1,1,1,1
C067,undecided,255,255,255,114,130,1,6.7082,1,1,1,1,1,1,1,1,1,1
C068,undecided,255,255,255,152,82,1,6.7082,1,1,1,1,1,1,1,1,1,1
C069,undecided,255,255,255,52,63,1,6.7082,1,1,1,1,1,1,1,1,1,1
C070,undecided,255,255,255,126,8,1,6.7082,1,1,1,1,1,1,1,1,1,1
C071,undecided,255,255,255,89,18,1,7.28011,1,1,1,1,1,1,1,1,1,1
C072,undecided,255,255,255,83,9,1,7.2111,1,1,1,1,1,1,1,1,1,1
C073,undecided,255,255,255,139,27,1,7.28011,1,1,1,1,1,1,1,1,1,1
C074,undecided,255,255,255,31,73,1,7.2111,1,1,1,1,1,1,1,1,1,1
C075,undecided,255,255,255,101,190,1,7.28011,1,1,1,1,1,1,1,1,1,1
C076,undecided,255,255,255,188,101,1,7.28011,1,1,1,1,1,1,1,1,1,1
C077,undecided,255,255,255,107,27,1,7.2111,1,1,1,1,1,1,1,1,1,1
C078,undecided,255,255,255,102,15,1,6.7082,1,1,1,1,1,1,1,1,1,1
C079,undecided,255,255,255,61,50,1,8.06226,1,1,1,1,1,1,1,1,1,1
C080,undecided,255,255,255,144,137,1,7.2111,1,1,1,1,1,1,1,1,1,1
C081,undecided,255,255,255,81,38,1,6.40312,1,1,1,1,1,1,1,1,1,1
C082,undecided,255,255,255,117,45,1,7.61577,1,1,1,1,1,1,1,1,1,1
C083,undecided,255,255,255,149,55,1,6.7082,1,1,1,1,1,1,1,1,1,1
C084,undecided,255,255,255,115,33,1,7.28011,1,1,1,1,1,1,1,1,1,1
C085,undecided,255,255,255,54,125,1,6.7082,1,1,1,1,1,1,1,1,1,1
C086,undecided,255,255,255,144,8,1,7.07107,1,1,1,1,1,1,1,1,1,1
C087,undecided,255,255,255,128,11,1,7.28011,1,1,1,1,1,1,1,1,1,1
C088,undecided,255,255,255,136,66,1,6.40312,1,1,1,1,1,1,1,1,1,1
C089,undecided,255,255,255,68,31,1,6.7082,1,1,1,1,1,1,1,1,1,1
C090,undecided,255,255,255,62,1,1,9.05539,1,1,1,1,1,1,1,1,1,1
C091,undecided,255,255,255,200,81,1,7.07107,1,1,1,1,1,1,1,1,1,1
C092,undecided,255,255,255,116,29,1,7.2111,1,1,1,1,1,1,1,1,1,1
C093,undecided,255,255,255,142,64,1,6.7082,1,1,1,1,1,1,1,1,1,1
C094,undecided,255,255,255,168,177,1,7.61577,1,1,1,1,1,1,1,1,1,1
C095,undecided,255,255,255,123,49,1,6.7082,1,1,1,1,1,1,1,1,1,1
C096,undecided,255,255,255,127,37,1,6.40312,1,1,1,1,1,1,1,1,1,1
C097,undecided,255,255,255,123,115,1,8.06226,1,1,1,1,1,1,1,1,1,1
C098,undecided,255,255,255,68,94,1,6.40312,1,1,1,1,1,1,1,1,1,1
C099,undecided,255,255,255,120,29,1,7.28011,1,1,1,1,1,1,1,1,1,1
C100,undecided,255,255,255,87,41,1,6.7082,1,1,1,1,1,1,1,1,1,1
